Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
295.22784	295.2279	.0000	FA 18:2;O	C18H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
325.21734	325.2173	.0000	FA 22:7	C22H30O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:7
249.18583	249.1860	.0002	FA 16:3	C16H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:3
249.18583	249.1860	.0002	SFE 16:3	C16H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:3
249.18583	249.1860	.0002	WE 16:3	C16H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 16:3
249.18583	249.1860	.0002	FA 32:6;O2	C32H52O4	[M-2H]2-	/resources/tools/chemdb_ontology?abbrev=FA 32:6;O2
355.26441	355.2643	.0002	FA 24:6	C24H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 24:6
355.26441	355.2643	.0002	ST 24:3;O2	C24H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 24:3;O2
343.22791	343.2279	.0000	FA 22:6;O	C22H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6;O
343.22791	343.2279	.0000	ST 22:3;O3	C22H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 22:3;O3
343.22791	343.2279	.0000	ST 20:3;O	C20H28O	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 20:3;O
355.20487	355.2046	.0003	FA 20:4;O	C20H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O
223.16987	223.1704	.0005	FA 14:2	C14H24O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 14:2
223.16987	223.1704	.0005	SFE 14:2	C14H24O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 14:2
223.16987	223.1704	.0005	WE 14:2	C14H24O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 14:2
271.22800	271.2279	.0001	FA 16:0;O	C16H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 16:0;O
347.19951	347.1995	.0000	FA 18:2;O2	C18H32O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O2
331.20469	331.2046	.0001	FA 18:2;O	C18H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
340.28571	340.2857	.0000	Cer 20:1;O2	C20H39NO3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=Cer 20:1;O2
225.18559	225.1860	.0004	FA 14:1	C14H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 14:1
225.18559	225.1860	.0004	SFE 14:1	C14H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 14:1
225.18559	225.1860	.0004	WE 14:1	C14H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 14:1
323.25928	323.2592	.0001	FA 20:2;O	C20H36O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:2;O
362.27025	362.2701	.0002	NAE 20:4;O	C22H37NO3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=NAE 20:4;O
225.18552	225.1860	.0005	FA 14:1	C14H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 14:1
225.18552	225.1860	.0005	SFE 14:1	C14H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 14:1
225.18552	225.1860	.0005	WE 14:1	C14H26O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 14:1
