LMSD Examples,Input Mass
/resources/tools/chemdb_ontology?abbrev=NAE 16:0,358.29641
/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O2,358.29641
/resources/tools/chemdb_ontology?abbrev=FA 14:1;O2,257.17588
/resources/tools/chemdb_ontology?abbrev=FA 13:1,257.17588
/resources/tools/chemdb_ontology?abbrev=SFE 13:1,257.17588
/resources/tools/chemdb_ontology?abbrev=FA 12:1,257.17588
/resources/tools/chemdb_ontology?abbrev=SFE 12:1,257.17588
/resources/tools/chemdb_ontology?abbrev=WE 12:1,257.17588
/resources/tools/chemdb_ontology?abbrev=FA 26:6;O4,447.27546
/resources/tools/chemdb_ontology?abbrev=MG 22:6,447.27546
/resources/tools/chemdb_ontology?abbrev=ST 26:3;O3,447.27546
/resources/tools/chemdb_ontology?abbrev=ST 24:3;O4,447.27546
/resources/tools/chemdb_ontology?abbrev=LPG O-16:1,467.27817
/resources/tools/chemdb_ontology?abbrev=LPA O-18:1,467.27817
/resources/tools/chemdb_ontology?abbrev=LPA 20:4,457.23629
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O6,457.23629
/resources/tools/chemdb_ontology?abbrev=FA 14:1;O,241.18075
/resources/tools/chemdb_ontology?abbrev=FA 16:0,255.23288
/resources/tools/chemdb_ontology?abbrev=SFE 16:0,255.23288
/resources/tools/chemdb_ontology?abbrev=WE 16:0,255.23288
/resources/tools/chemdb_ontology?abbrev=FA 18:2;O,295.22783
/resources/tools/chemdb_ontology?abbrev=FA 21:2;O2,389.24646
/resources/tools/chemdb_ontology?abbrev=MG 18:2,389.24646
/resources/tools/chemdb_ontology?abbrev=FA 20:5;O3,349.20178
/resources/tools/chemdb_ontology?abbrev=ST 19:2;O3,349.20178
/resources/tools/chemdb_ontology?abbrev=FA 18:5;O,349.20178
/resources/tools/chemdb_ontology?abbrev=ST 24:2;O5,405.26467
/resources/tools/chemdb_ontology?abbrev=FA 23:5;O,405.26467
/resources/tools/chemdb_ontology?abbrev=FA 22:5;O,405.26467
/resources/tools/chemdb_ontology?abbrev=FA 16:1;O,269.21227
/resources/tools/chemdb_ontology?abbrev=ST 27:1;O4,433.33225
/resources/tools/chemdb_ontology?abbrev=FA 26:4,433.33225
/resources/tools/chemdb_ontology?abbrev=WE 26:4,433.33225
/resources/tools/chemdb_ontology?abbrev=FA 25:4,433.33225
/resources/tools/chemdb_ontology?abbrev=ST 20:4;O2,297.18607
/resources/tools/chemdb_ontology?abbrev=MG 18:0,393.27797
/resources/tools/chemdb_ontology?abbrev=MG O-18:1;O,393.27797
